FID,Lat,Lng,Perception Safety,Rural/Urban,Q2 Enclosure,Q3 Human scale,Q4 Diversity/Complexity,Q5 Averall/Better
254,55.677659,12.543681,8.152008729,1,6.078409999,5.65833186,4.935123584,6.621561668
255,55.677247,12.543397,7.111025338,1,5.040694717,5.86689253,5.155968434,6.386424135
256,55.676836,12.543113,7.297897778,1,6.079500036,5.277184703,5.262830327,6.666296954
257,55.676425,12.542829,6.615299608,1,6.054429184,5.158179871,6.484594978,5.231255546
258,55.677959,12.54065,7.225934074,1,3.855824431,4.85041342,4.862244897,5.475635906
259,55.678545,12.534865,7.547195741,1,6.387253833,4.541782279,6.640759954,4.941955043
260,55.679015,12.535035,6.177080056,1,4.584332534,4.967175309,5.7053804,5.4641748
261,55.679474,12.535232,7.702933316,1,6.276070053,6.43379276,7.18046592,6.1427832
262,55.679904,12.535448,6.646809501,1,6.112201148,6.676654111,5.38975669,4.929939367
263,55.679785,12.53593,7.790912859,1,6.672843543,5.440581875,6.185460902,6.190661047
264,55.68094,12.538017,8.350568673,1,6.420318291,6.137599942,6.571093735,6.254621414
265,55.680936,12.53755,5.787061016,1,6.322941647,5.442928405,4.428567932,5.58266785
266,55.680899,12.537051,8.014165494,1,4.968388925,6.025702505,5.005398454,6.01948388
267,55.680863,12.536552,6.208302257,1,4.574158855,4.875331781,5.941315069,5.705967169
268,55.680834,12.536053,6.506934676,1,5.127534336,4.582307052,5.365044219,6.271813073
269,55.680805,12.535554,7.966299258,1,5.764479326,4.713319053,4.811903523,6.154798876
270,55.680776,12.535055,7.640767779,1,5.764479326,5.357110549,5.486583633,6.3036084
271,55.680747,12.534556,7.01137006,1,7.028922317,4.102655586,7.396758074,5.045844425
272,55.67874,12.536997,6.782430181,1,5.182036189,4.607055767,5.211374239,5.197611653
273,55.6792,12.537191,5.776639498,1,4.995639852,4.790437965,5.551365895,5.296694765
274,55.679661,12.537386,7.822494741,1,5.643848557,5.183679727,5.67624595,6.393078971
275,55.680122,12.53758,8.145183701,1,6.023908146,5.300396003,5.590395157,6.643374741
276,55.680582,12.537775,5.95381452,1,4.919700603,4.316943441,4.867540929,4.696280686
277,55.67787,12.535251,6.018131005,1,5.617324322,6.253065512,5.799331434,4.575199645
278,55.678334,12.535437,6.067368599,1,6.310224548,6.041836002,5.788486381,4.814958592
279,55.678799,12.535622,7.203622304,1,5.455998837,5.772020167,3.402448783,6.065882875
280,55.679258,12.53582,5.779866321,1,5.934888453,4.516053925,2.86701756,5.4373706
281,55.680171,12.536227,7.262735808,1,6.483177095,4.615831181,4.849907389,6.419698314
